epoch,accuracy,dice_coef,dice_coef_edema,dice_coef_enhancing,dice_coef_necrotic,loss,lr,mean_io_u,precision,sensitivity,specificity,val_accuracy,val_dice_coef,val_dice_coef_edema,val_dice_coef_enhancing,val_dice_coef_necrotic,val_loss,val_mean_io_u,val_precision,val_sensitivity,val_specificity
0,0.9870660305023193,0.27544891834259033,0.12736302614212036,0.07598282396793365,0.0549035370349884,0.09295924752950668,0.001,0.519008457660675,0.987017810344696,0.9802724719047546,0.9962203502655029,0.9889405369758606,0.30199798941612244,0.1770486980676651,0.13496945798397064,0.1283237189054489,0.03883383050560951,0.6567910313606262,0.9901319146156311,0.9882270693778992,0.9967085719108582
1,0.9887905716896057,0.3305288553237915,0.24754056334495544,0.22067837417125702,0.1674090176820755,0.0384751595556736,0.001,0.5850199460983276,0.9919100403785706,0.986494243144989,0.9972654581069946,0.989772379398346,0.3766615390777588,0.316560298204422,0.3541308641433716,0.2537650465965271,0.03138420358300209,0.6204094886779785,0.9940200448036194,0.9866893291473389,0.9979304671287537
2,0.9898513555526733,0.3699052631855011,0.35572290420532227,0.3238461911678314,0.20246393978595734,0.03285253793001175,0.001,0.6262737512588501,0.9931433796882629,0.9871220588684082,0.9976588487625122,0.9911789298057556,0.4125729203224182,0.3642452359199524,0.4433845281600952,0.21225351095199585,0.028149107471108437,0.6222254633903503,0.9929192662239075,0.9898427724838257,0.9976090788841248
3,0.9912717342376709,0.4208023250102997,0.4327268600463867,0.45760613679885864,0.26729661226272583,0.030079225078225136,0.001,0.5153812170028687,0.9935177564620972,0.9887853860855103,0.9977859258651733,0.9930195212364197,0.47514429688453674,0.5989933013916016,0.5032943487167358,0.29260051250457764,0.02215692214667797,0.522254228591919,0.9936913847923279,0.9919136762619019,0.9978717565536499
4,0.991296112537384,0.4256519079208374,0.4331061840057373,0.450654536485672,0.27699193358421326,0.033887799829244614,0.001,0.4599899649620056,0.9927440285682678,0.9891754984855652,0.9975507259368896,0.9914757609367371,0.4463936984539032,0.39350974559783936,0.5054730772972107,0.3440971076488495,0.02775130420923233,0.3838788866996765,0.9933632612228394,0.9894891381263733,0.9977487325668335
5,0.9934678077697754,0.534903347492218,0.5827481746673584,0.6555162072181702,0.46859484910964966,0.0210481695830822,0.001,0.3925417363643646,0.9943887591362,0.9920535683631897,0.9980996251106262,0.9932191967964172,0.5505756139755249,0.4884509742259979,0.6067836880683899,0.5285993814468384,0.024070419371128082,0.38840118050575256,0.9935612082481384,0.9925425052642822,0.9978397488594055
6,0.9948832392692566,0.6193851828575134,0.6830803155899048,0.7473322153091431,0.6127699017524719,0.015911085531115532,0.00020000001,0.387892484664917,0.9951926469802856,0.993909478187561,0.9983775019645691,0.9953356981277466,0.6268048882484436,0.6785038709640503,0.7408989071846008,0.6207435131072998,0.014569823630154133,0.39247649908065796,0.9955751895904541,0.9944624304771423,0.9985082745552063
7,0.9953470230102539,0.6440523266792297,0.7153018712997437,0.7710333466529846,0.6459004282951355,0.01430924329906702,0.00020000001,0.39991533756256104,0.9955897331237793,0.994392454624176,0.9985098838806152,0.9956038594245911,0.6485220193862915,0.7068371772766113,0.7546114325523376,0.6443747282028198,0.013639370910823345,0.41845542192459106,0.9957183599472046,0.9948216080665588,0.9985573291778564
8,0.9954667687416077,0.6547486782073975,0.7235925793647766,0.7793058156967163,0.6642042994499207,0.013804263435304165,0.00020000001,0.6015852689743042,0.995676577091217,0.9945409893989563,0.998539924621582,0.9957689642906189,0.6493075489997864,0.7086824178695679,0.7583138346672058,0.6573085188865662,0.013019673526287079,0.7991743087768555,0.9958956837654114,0.9949408173561096,0.9986145496368408
9,0.9956978559494019,0.6670678853988647,0.7415124177932739,0.7900915741920471,0.6754271388053894,0.012995063327252865,0.00020000001,0.7020846009254456,0.9958537817001343,0.9947895407676697,0.9985989332199097,0.995621383190155,0.6534842848777771,0.6833189725875854,0.7666293978691101,0.648658037185669,0.013440399430692196,0.8229173421859741,0.9957385063171387,0.9948756098747253,0.9985641837120056
10,0.9958576560020447,0.6786820888519287,0.7509018778800964,0.8022629022598267,0.6925224661827087,0.01236609648913145,0.00020000001,0.7677656412124634,0.9959664344787598,0.9949837327003479,0.9986382126808167,0.9958179593086243,0.6628732085227966,0.7361847758293152,0.7533987760543823,0.6800283789634705,0.012785742059350014,0.8219577670097351,0.9958493113517761,0.9950444102287292,0.9986030459403992
11,0.9960311055183411,0.6866422295570374,0.7613251209259033,0.8112511038780212,0.6984971165657043,0.011909672059118748,0.00020000001,0.7806249856948853,0.9960943460464478,0.9951874017715454,0.9986820220947266,0.9959441423416138,0.6696352362632751,0.718879222869873,0.7556104063987732,0.6738899946212769,0.012669794261455536,0.8487626910209656,0.9959912300109863,0.9952229261398315,0.9986488223075867
12,0.9961050748825073,0.6912113428115845,0.7657871246337891,0.8111929893493652,0.7063907980918884,0.01166361104696989,0.00020000001,0.8158453106880188,0.9961480498313904,0.9952690601348877,0.9987002015113831,0.9962361454963684,0.6725640892982483,0.739524781703949,0.787363588809967,0.6978645920753479,0.011507050134241581,0.6437497735023499,0.9962517619132996,0.995429515838623,0.9987339377403259
13,0.9962452054023743,0.7002651691436768,0.7742578387260437,0.8197420239448547,0.7172212600708008,0.011225859634578228,0.00020000001,0.8164680004119873,0.9962483048439026,0.9954394698143005,0.9987345933914185,0.9961961507797241,0.6709815859794617,0.7299156188964844,0.7952373027801514,0.6703026294708252,0.01135312020778656,0.8497950434684753,0.9962085485458374,0.9954226613044739,0.9987220168113708
14,0.9962829947471619,0.7040963172912598,0.778645396232605,0.8243275284767151,0.7244076132774353,0.010969836264848709,0.00020000001,0.8299703598022461,0.9962683916091919,0.9954807162284851,0.9987416863441467,0.9963213205337524,0.6969828009605408,0.7461243271827698,0.79900062084198,0.7016804814338684,0.01135832630097866,0.8528218269348145,0.9962750673294067,0.9956285953521729,0.9987448453903198
15,0.9963932633399963,0.7091066241264343,0.7857400178909302,0.8282129764556885,0.7287243008613586,0.010695609264075756,0.00020000001,0.844620406627655,0.9963608384132385,0.995596706867218,0.9987719655036926,0.9964083433151245,0.6967189311981201,0.7501879930496216,0.8080800175666809,0.7096587419509888,0.010734887793660164,0.8510055541992188,0.9963648915290833,0.9957028031349182,0.9987754821777344
16,0.9965445399284363,0.7164041996002197,0.7951490879058838,0.8344769477844238,0.735051691532135,0.010218736715614796,0.00020000001,0.8478944301605225,0.9964740872383118,0.9957733750343323,0.9988105297088623,0.9964847564697266,0.7020512223243713,0.7685806155204773,0.8005281090736389,0.6981028914451599,0.0104396166279912,0.8556817770004272,0.996367871761322,0.9958161115646362,0.998779296875
17,0.9965888261795044,0.7220564484596252,0.7982967495918274,0.8411672711372375,0.7436525821685791,0.009992530569434166,0.00020000001,0.8460934162139893,0.9964947700500488,0.995835542678833,0.9988186955451965,0.996489942073822,0.7034977674484253,0.7789815068244934,0.8131260871887207,0.7151629328727722,0.010262788273394108,0.8523526191711426,0.9964105486869812,0.9957903623580933,0.9987924098968506
18,0.996589183807373,0.721251904964447,0.7995177507400513,0.8392679691314697,0.7383716702461243,0.010021893307566643,0.00020000001,0.851811408996582,0.9964969754219055,0.9958345890045166,0.9988196492195129,0.9957520365715027,0.6841451525688171,0.7482191920280457,0.7966338396072388,0.7122823596000671,0.012543216347694397,0.8397998809814453,0.99566650390625,0.9950563907623291,0.9985451698303223
19,0.9966487288475037,0.7249197959899902,0.8022809028625488,0.8430715799331665,0.7451435327529907,0.009894884191453457,0.00020000001,0.8514177799224854,0.9965366721153259,0.9959072470664978,0.9988337755203247,0.9964936971664429,0.690049409866333,0.7819637656211853,0.8121604919433594,0.7226403951644897,0.01052092295140028,0.8225263953208923,0.9963986277580261,0.9957298040390015,0.9987878203392029
20,0.9970008730888367,0.7413710951805115,0.8277531862258911,0.8583870530128479,0.7651879787445068,0.008693404495716095,4.0000003e-05,0.844254732131958,0.9968247413635254,0.9962685704231262,0.9989303350448608,0.9967732429504395,0.7197186946868896,0.7892352342605591,0.8234771490097046,0.7318311333656311,0.009607469663023949,0.8456897735595703,0.9966203570365906,0.9961069822311401,0.998863160610199
21,0.9970818161964417,0.7475506663322449,0.8337088227272034,0.8620844483375549,0.7686997652053833,0.008438889868557453,4.0000003e-05,0.8468208909034729,0.9968940615653992,0.9963699579238892,0.9989534616470337,0.9968060255050659,0.7213364243507385,0.7902234792709351,0.828289806842804,0.7300209403038025,0.009442366659641266,0.850528359413147,0.9966552257537842,0.9961426258087158,0.9988753199577332
22,0.9971016645431519,0.7498980760574341,0.8350429534912109,0.8634472489356995,0.7710253596305847,0.00837892945855856,4.0000003e-05,0.8497529625892639,0.9969083666801453,0.9963937997817993,0.9989583492279053,0.996772050857544,0.7211720943450928,0.783565878868103,0.8275463581085205,0.7289867997169495,0.009660822339355946,0.8536726236343384,0.9966253638267517,0.9961265325546265,0.9988654851913452
23,0.9971358776092529,0.7516835331916809,0.8373531699180603,0.8649933934211731,0.7712959051132202,0.008263706229627132,4.0000003e-05,0.8506497144699097,0.9969355463981628,0.9964368939399719,0.9989672303199768,0.9968177080154419,0.7230318784713745,0.7914263606071472,0.8279420733451843,0.7323731184005737,0.009481193497776985,0.852954089641571,0.9966580867767334,0.9961650371551514,0.9988759756088257
24,0.997200608253479,0.7538424730300903,0.8422392010688782,0.8669635057449341,0.7746967077255249,0.00805777870118618,8.000001e-06,0.8524587154388428,0.9969895482063293,0.9964979290962219,0.9989856481552124,0.9968249797821045,0.7244258522987366,0.7872194647789001,0.8295366168022156,0.7309858798980713,0.009531849063932896,0.8553613424301147,0.9966680407524109,0.9961823225021362,0.998879611492157
25,0.9972084164619446,0.7548003792762756,0.8427348732948303,0.8676924109458923,0.7751852869987488,0.008021960966289043,8.000001e-06,0.8525657653808594,0.9969984292984009,0.9965089559555054,0.9989879131317139,0.9968312978744507,0.7256409525871277,0.790107250213623,0.8279311656951904,0.7308931946754456,0.009483861736953259,0.8554532527923584,0.9966670870780945,0.9961962103843689,0.9988802671432495
